지역,매장,테마,별점,난이도,리뷰수
인천,둠 이스케이프 2호점,죄,8.03,7,493
부산,플레이포인트랩 해운대블루오션스테이션점,문앞에두고벨눌러주세요,8,0,5
홍대,상상의문 홍대점,TITAN : 전쟁의경계,8,5,293
경기(기타),제로월드 김포점,인형괴담,7.99,5,276
홍대,해피앤딩,도넛살인사건,7.99,3,298
홍대,상상의문 홍대점,서울만 가면 된다,7.98,5,398
성남,상상의문 분당서현점,몽염 : 도망칠 수 없는 꿈,7.98,4,307
신촌,룸익스케이프 올리브점,오즈 : 익시드 드림,7.97,6,548
인천,어메이즈드 부평 2호점,REC,7.96,7,494
동탄,무비 이스케이프 동탄 남광장점,잊지못할하루,7.96,7,49
대구,지구별 방탈출,"너의 겨울은 가고, 봄은 온다",7.96,2,306
인천,마스터키 부평점,호스피스,7.95,6,129
건대,넥스트에디션 건대 2호점,"어제, 그리고 오늘",7.95,5,515
수원,상상의문 수원점,혼숨,7.95,5,56
건대,머더파커 건대 2호점,R003,7.94,9,373
홍대,비트포비아 홍대 던전,꿈의 공장,7.94,3,627
경기(기타),셜록홈즈 미사점,별별별 아카데미-별의 시험,7.93,6,58
전주,키이스케이프 전주점,월야애담,7.93,4,46
건대,솔버 2호점,이층 복도 끝 화장실,7.92,6,451
인천,서울 이스케이프 룸 부평점,알카트라즈 지하감옥,7.92,5,166
대구,룸즈에이 동성로 아카데미점,우당탕탕,7.92,4,65
광주,러시아워 방탈출 카페,하루끝,7.92,4,253
강남,도어 이스케이프 레드 신논현점,유전,7.91,10,508
광주,러시아워 로드맨션,우당탕탕 치즈탈환 대작전!,7.91,4,211
강남,이룸에이트,고령화사회,7.91,3,517
수원,소우주,방과후 추리반 EP1.여고생 살인사건,7.91,3,320
대구,서울 이스케이프 룸 대구 동성로점,팩토리,7.9,8,62
광주,러시아워 방탈출 카페,전생연분,7.88,7,281
홍대,지구별 방탈출 홍대어드벤처점,퀘스트 : 여정의 시작,7.88,4,511
부산,마스터키 부산서면점,집으로,7.88,2,78
강남,비밀의 화원 강남 리버타운점,후레쉬망고 호스텔,7.87,3,600
신촌,룸익스케이프 화이트점,대저택 레테 잠겨버린 출구,7.86,6,462
홍대,히든 스위치 홍대점,Audrey,7.86,4,555
광주,비밀의 화원 광주점,무고,7.84,7,58
전주,머더파커 전주 2호점,NEW 토니파커 숨겨진 과거,7.84,7,132
광주,러시아워 로드맨션,오드의 마법사,7.84,5,227
잠실,셜록홈즈 잠실 2호점,단잠,7.84,4,412
강남,제로월드 강남점,헐!,7.83,6,607
강남,비트포비아 강남 던전,마음을 그려드립니다,7.83,4,663
건대,이스케이프 # 건대점,미스터방,7.83,4,180
대구,룸즈에이 대구동성로점,뽀득뽀득,7.83,4,69
수원,소우주,도고,7.83,3,481
홍대,비밀의 숲,오버킬,7.81,8,363
인천,둠 이스케이프 1호점,Rendering,7.81,8,375
광주,상상의문 광주점,서울만 가면 된다,7.79,7,34
강남,도어이스케이프 강남 가든점,IMAGINE,7.79,4,265
광주,러시아워 로드맨션,듀얼,7.78,10,144
홍대,도어이스케이프 홍대점,신기루,7.78,7,214
홍대,티켓 투 이스케이프,로랑 옥스퍼드,7.78,3,135
홍대,비밀의 화원 홍대 미드나잇점,비밀의 가족,7.77,7,606
수원,골든타임 이스케이프,수곡리,7.77,6,323
잠실,머더파커 잠실 WOW점,G.A.S.A.,7.77,5,274
잠실,넥스트에디션 잠실점,락페스티벌,7.75,10,295
성남,넥스트에디션 분당서현점,평범한 하루,7.75,8,324
강남,테이블그라운드 강남점,회장님의 서재,7.75,2,71
잠실,마스터키 잠실점,블랙룸 : 쉽게 만들어진 방,7.74,10,263
강원,셜록홈즈 원주점,경성,7.73,0,11
안산,꿈소풍 안산 2호점,냥냥펀치,7.72,7,158
홍대,비밀의 화원 홍대 다운타운점,Promesa,7.72,6,394
강남,이룸에이트,스테이시,7.72,6,454
강남,도어이스케이프 강남 가든점,출동,7.72,3,468
건대,솔버 1호점,루시드 드림,7.72,3,622
건대,솔버 2호점,무채색 인간,7.7,8,374
홍대,비밀의 숲,드림레일,7.7,5,250
수원,룸즈에이 수원역2호점,슬기로운 지구생활,7.69,4,297
